Table 2. Methods: Corpus and Preprocessing

Study       | Corpus / subset                                | Preprocessing rule                            
------------+------------------------------------------------+-----------------------------------------------
Chang 2026a | Line- and paragraph-aware ZL3b EVA             | Preserves line and paragraph position; parses 
            | transcription subset.                          | line-initial, line-final, and paragraph-      
            |                                                | initial contexts.                             
Chang 2026b | Voynich ZL3b plus English, Latin, synthetic    | Size-matched comparison; current normalization
            | n-gram, and JSON/structured comparison         | plus robustness modes where available.        
            | datasets.                                      |                                               
Chang 2026c | ZL3b token set suitable for PCS segmentation.  | Prefix length 2, suffix length 1, core as     
            |                                                | middle component; tokens with empty core      
            |                                                | excluded.                                     
Chang 2026d | ZL3b token-generation corpus and PCS component | Operational PCS extraction; fixed-length      
            | inventory.                                     | segmentation variants; train/test holdout     
            |                                                | splits.                                       
Chang 2026e | Line-preserving ZL3b corpus: 23,753 tokens,    | Preserves token order and line boundaries;    
            | 12,688 types, 8,510 lines.                     | uses PCS segmentations and morphological      
            |                                                | families where available.                     
